gene,pval,qval,log2fc,mean,zero_mean,zero_variance
DZIP3,5.757164947539943e-07,8.467319723376564e-06,0.4442918863054736,-0.08191749080491637,False,False
GM15518,0.13155783359785894,0.3163107912157217,0.10109234270728082,-0.06444442055270641,False,False
BBX,0.7145620013695863,0.8596439550757096,-0.13422513361238694,0.02585015562264728,False,False
CBLB,0.0002751569060481258,0.0024525367305897826,0.40521005427328777,-0.009718852434647901,False,False
NFKBIZ,1.9862487549358433e-05,0.00022508105768022978,0.4735444153907287,-0.06136889007524097,False,False
NXPE3,0.1965944795488075,0.41152396809629244,0.04638566313240122,-0.018650303458540837,False,False
CEP97,0.06909492268079796,0.20412627455662283,0.14475623192038028,0.052372093925464755,False,False
ZBTB11OS1,0.6430590815782267,0.8073760558838744,-0.03710992195305562,0.05583285396779807,False,False
TBC1D23,0.6615485841555548,0.8221041955910603,-0.052081820566567946,-0.012979974551060865,False,False
FILIP1L,0.06284526728659444,0.19200791607451229,0.12521675289995218,0.05167900734946509,False,False
ST3GAL6,0.0016841042084941454,0.01161233949248457,-0.3904409043945402,-0.0407038310283347,False,False
CLDND1,4.740673379930298e-06,5.985370728542134e-05,0.7332709916374748,-0.019104005876305077,False,False
4930453N24RIK,0.06878825235507326,0.20412627455662283,-0.02233345206273075,-0.05265788356714611,False,False
GBE1,0.8246162216858334,0.9164243781998912,-0.057625287638093846,0.0028279625932501346,False,False
SAMSN1,0.18194327507667862,0.3908939164011327,0.06958703975066297,-0.04177315867441783,False,False
NRIP1,6.462456631204848e-07,9.355336432084505e-06,0.5576570130930234,-0.05282856224290765,False,False
USP25,0.3928061276150411,0.6209885322216059,0.13371687113450897,0.01722336518571682,False,False
D16ERTD472E,0.5055860058380124,0.7170090869097846,0.06304710923088135,-0.06832687438330737,False,False
N6AMT1,0.01853572035834575,0.07765343453155454,0.1935517179720929,-0.08109244842045585,False,False
BACH1,0.128292271850785,0.30980622853049833,-0.25227160665859105,0.022179914237577703,False,False
IFNAR2,0.07495329699615463,0.21610622126628526,0.2173192144504889,0.07720625883691358,False,False
IL10RB,0.20429053824293342,0.42158651617419984,-0.06657340925742533,0.09404985905322344,False,False
IFNAR1,0.11562292735013935,0.29330036158085804,-0.2305211032271044,0.09469992744457369,False,False
CRYZL1,0.33780363218885945,0.5719700202095508,0.05000159232052671,-0.023555107422581704,False,False
RUNX1,0.07615529490430252,0.2186598031260607,0.109104213616761,0.03355086020569928,False,False
MX1,0.05837452388872156,0.18519102710482652,-0.30846480954270933,0.06645838141902422,False,False
C2CD2,0.31775963000977747,0.5501599104427268,0.03897416820551683,0.036422250776665624,False,False
B230307C23RIK,0.6075686393695756,0.7828963536849602,-0.029611370886280373,0.00489516677033633,False,False
3300005D01RIK,0.06272619436319164,0.1918561406346289,-0.19441907753774348,-0.0046312413617193085,False,False
SNX9,0.05431283100312694,0.176884543844106,-0.26954854305872594,-0.05259637529902819,False,False
DYNLT1C,0.029742662767144983,0.11038719805524279,0.17322985829795004,0.002636433863270969,False,False
SYTL3,0.4512906097242487,0.6757254395557698,0.17057671956429438,-0.02552943207250198,False,False
RSPH3B,0.8849689759110289,0.9447158226752297,0.0014818112533279484,-0.002701709502469617,False,False
RNASET2B,0.9060957077291814,0.951882458917624,-0.015690764596287512,-0.014762393299767907,False,False
TAGAP,0.9325131411183236,0.9689586002225347,-0.021409862231934754,0.1143351526283849,False,False
RNASET2A,0.14816579900153304,0.34225433102693303,0.16774829288820461,0.017921934268436013,False,False
GM17087,0.06058494346587256,0.18801051479588957,0.13482260402871327,0.032839675505976974,False,False
1700010I14RIK,0.7832448482990729,0.8961793212178883,-0.1136033254462237,0.005348930939633803,False,False
AGPAT4,0.6719883867215937,0.8272697637066814,0.02856696324325325,-0.21385919666323816,False,False
4732491K20RIK,0.8305549547429705,0.9175496757416185,-0.0278773893993176,-0.0046738560315425885,False,False
IGF2R,0.027331809371985764,0.1039246400987467,0.23265373546021292,0.08395584644625322,False,False
AIRN,0.9993159764787727,0.9993159764787727,-0.022392173724988338,0.0032270365674965575,False,False
1600012H06RIK,0.9539643999985873,0.9749222395699477,-0.10122544115567512,0.0024011640451879965,False,False
TCTE3,0.7950070835598572,0.8992787702426663,-0.05358132520691064,0.0028070048854781943,False,False
ZFP97,0.5415614906977599,0.7321063935174683,-0.09343556760171179,0.0017110836677745756,False,False
GM6712,0.7981035114866071,0.8992787702426663,-0.04846416365819889,0.01400164644556112,False,False
SPACA6,0.8332612064329852,0.9175496757416185,-0.021217509714053152,0.0032780969360877363,False,False
GM5145,0.40630877100186014,0.6323920117932298,0.06710782115992123,-0.03407350009105544,False,False
ZFP52,0.008026315383632627,0.040646084314549843,0.18973259867185252,0.015493910026156282,False,False
3110052M02RIK,0.06639585559612594,0.19954841382966113,0.13222880468406312,0.03800798331435806,False,False
2210404O09RIK,0.1629340130938154,0.36390351066591237,0.0636151007459582,0.006949641211312027,False,False
ZFP943,0.09615040212970877,0.25937157257428756,0.10313122726458476,0.03499876909447852,False,False
GM4944,0.2398399400108433,0.467834905540601,0.05040914552017993,0.010270513469712222,False,False
ZFP945,0.1544348638443656,0.34972350411930464,-0.2571187280693036,0.09720204996911785,False,False
ZFP40,0.496193386239269,0.7083488406971197,-0.15488451730053482,0.024486006207439296,False,False
KREMEN2,5.382810258968387e-06,6.765213802748904e-05,0.5342899882942699,0.13259235078943093,False,False
9530082P21RIK,0.26567782602424006,0.4916081496940674,-0.20416112078719273,0.0482150707944033,False,False
D930048G16RIK,0.7716499871423228,0.8901676612410307,-0.06532499592830619,0.016957206479974517,False,False
PRSS30,0.11073825771612741,0.2856261964413174,0.09653450148977738,0.016269941799835146,False,False
AMDHD2,0.10174010849394965,0.27023189239747436,0.18202617432476254,0.05499623496342141,False,False
TBC1D24,0.09393747231530174,0.25716545638793,0.15771376358144507,-0.03164791236677418,False,False
CCNF,4.880424068628137e-31,5.190143288367999e-29,1.304354045348417,-0.024066556438950393,False,False
E4F1,0.2233332490755372,0.44793367162985415,0.04413546228272914,0.013705989722497812,False,False
MSRB1,0.5068400124142939,0.7175691932030326,0.3044420009775823,0.020659687796557837,False,False
CLCN7,0.19426703721462724,0.4087887046411296,0.034178069210303245,0.0022577520711386757,False,False
GNPTG,0.38495873460633634,0.6113790357188513,0.13128689063926346,0.017592307195884768,False,False
BAIAP3,0.3746555181143659,0.5998393211269379,0.004704139334351455,0.03515262359493895,False,False
RGS11,0.0010126761405062853,0.007527014861558814,-0.37011840247268557,-0.010601726409084508,False,False
CREBRF,0.10653303813231031,0.278152833272746,-0.28235943935571334,0.04300471670852264,False,False
PHF1,0.060536647419244374,0.18801051479588957,-0.338885299682263,0.04478208756312707,False,False
GM26724,0.30420965630040475,0.5354167407196812,-0.21316254224853262,0.027570023535424645,False,False
GM10505,0.7418736688343488,0.8699239585780214,-0.08048495958595869,7.547879573246118e-05,False,False
PACSIN1,2.582146698781475e-06,3.4325171260244126e-05,0.4842935138012208,0.07243182928250308,False,False
TCP11,0.12301371821297909,0.30322450041525045,-0.14131627390264173,-0.009677129109952012,False,False
ZFP523,0.5334444789204713,0.7321063935174683,0.01010115914782429,0.021279109474245335,False,False
E230001N04RIK,0.437313477159734,0.6632867604754057,0.012262055318806947,-0.018887795649374588,False,False
STK38,0.7330717801198232,0.8677846643839632,0.04937356408053967,0.14353013089982433,False,False
CDKN1A,0.10592421037330824,0.27795756756107826,0.09625003681079246,-0.11449726584004619,False,False
PIM1,0.2963144581685768,0.5263180276709768,-0.00024588682061326116,0.03599348256126067,False,False
TBC1D22B,0.025223685564296345,0.09805301388228302,-0.2798414467388888,0.04598490934708953,False,False
CMTR1,0.1470572802209175,0.3408326737727049,0.11326748095029351,-0.01209669868277095,False,False
1700097N02RIK,1.828623831829649e-05,0.00020807180637897037,0.537381236707625,0.1063905901232349,False,False
ABCG1,0.8218807873808894,0.9157897638825793,-0.03945754694359811,0.0437015251016818,False,False
SLC37A1,0.5719542268467028,0.7527146298101538,-0.0330920928231168,0.0005668270756633313,False,False
AKAP8L,0.06616569572032889,0.1995072504544268,0.12658872703022225,0.04004050872803426,False,False
RASAL3,6.303794694932123e-06,7.886874358139058e-05,-0.38792491107603194,0.06684255588448668,False,False
PGLYRP2,0.00013635143492357016,0.0012955729125899364,-0.5273386000312147,0.06322132711169086,False,False
CYP4F16,0.12348310577489043,0.30322450041525045,-0.08917333231429449,-0.015934089489501237,False,False
ZFP871,0.05844204995166408,0.18519102710482652,0.16366997154805374,-0.006880727980374958,False,False
CYP4F13,0.6718303616417435,0.8272697637066814,-0.13931139152466637,0.01790315401118181,False,False
ZFP952,0.2958693901951469,0.5263180276709768,0.021095485336037067,-0.014401800588622123,False,False
MYO1F,1.660068704509317e-07,2.6532311953573764e-06,-0.4553145688050546,0.160199619709146,False,False
MARCH2,3.858671105966536e-08,6.710204784904071e-07,-0.4429415833328267,0.1118466666573462,False,False
PLATR17,0.6344944293599444,0.8007198070197381,-0.001656945351906372,0.033328591860338264,False,False
BC051226,0.5211909833850707,0.7270903476587894,-0.1707829536349681,-0.022137097490403886,False,False
DAXX,0.006667483996121408,0.034982150378132244,-0.23022418861653435,0.005295279775071583,False,False
RGL2,0.005977943940872677,0.032032974799443704,0.23386772706638836,0.019215780502884694,False,False
B3GALT4,0.5389439494182747,0.7321063935174683,-0.10312914936482259,0.08048796926201982,False,False
H2-KE6,0.4063862064825986,0.6323920117932298,-0.0694785966276072,0.003411491245618181,False,False
H2-OA,0.1002152346030621,0.2671956001854885,-0.305019814986168,0.09016123333220198,False,False
H2-DMA,0.23551766254829565,0.4655895581462687,-0.2543210352303688,0.05121524524567164,False,False
H2-DMB1,0.23618669379844304,0.4660418761486037,-0.19520446855965554,0.03400110771929329,False,False
TAP2,4.190513807357073e-08,7.241731673338942e-07,-0.3438635471153427,0.07632646598602984,False,False
H2-OB,0.007996108764904041,0.040567414192586554,-0.3388868905217835,0.03188107683521115,False,False
H2-AB1,0.6963851683248252,0.8448902985599569,-0.18879396035910603,0.022212237601709435,False,False
H2-AA,0.04779205486361408,0.15883029674662458,-0.3068815426333242,0.012459704979897894,False,False
H2-EB1,0.11690582168140067,0.29520239916689184,-0.2204360970123166,0.007112728371566526,False,False
PRRT1,0.13872781692928265,0.3264531181357162,0.07149616541331262,-0.08662994884991948,False,False
EHMT2,0.008352121288142519,0.042141633871741,0.25216909424976114,-0.05593021443498788,False,False
ABHD16A,0.7528517982941407,0.8763679799956892,-0.08066246046140817,0.02856130730596524,False,False
LY6G5B,0.032608629762712484,0.1183239649526247,-0.2281809809797058,-0.01430621699190341,False,False
GPANK1,0.05860418780922812,0.18519102710482652,0.2208364672490674,-0.03781487549617153,False,False
GM20522,0.7293993289311775,0.8674707985586718,0.019120552124372123,0.011721203609929011,False,False
D17H6S53E,0.05227680841884352,0.17105961571373057,0.1597862217050649,0.02114365327416928,False,False
AIF1,0.1671694403031252,0.3694068051430954,-0.15977363472480488,-0.004860292161315803,False,False
LST1,0.1296387909853279,0.3125119939620154,-0.29947010077921093,0.07014760567836788,False,False
TNF,0.0016594735807025547,0.011471111126606408,0.2507543595893058,-0.027832020477571235,False,False
